VideoID,Text,Timestamp,Primary Code,Relevance,Secondary Code,Relevance
1,A digital nomad is anyone who can earn money from a digital medium also making,0:05,A,2,C,1
1,it really easy for them to move around and take their work with them anywhere,0:08,A,2,C,1
1,they go. Which also really suits their location independent or nomadic,0:12,A,2,C,1
1,lifestyle. Now.. conversely a digital nomad is NOT somebody who would ever risk,0:18,A,2,C,1
1,"their livelihood-making-machine also known as ""their laptop"" to sun and sand",0:23,A,2,C,1
1,and salt water and all of the things by just taking crazy photos on the beach and,0:28,A,2,C,1
1,"other locations. Actually, I'm really really guilty of having done this when I",0:32,A,2,C,1
1,first started working online... soo scratch that. But the point is this is actually,0:37,A,2,C,1
1,the first time in history where it's more achievable than ever before for you,0:41,B,1,,
1,to actually make a really great in profitable career from your laptop while,0:45,B,1,,
1,traveling the world. So if you're someone who's been dreaming of quitting their,0:49,B,1,,
1,nine-to-five job in pursuing a laptop lifestyle (because let's face it life is,0:54,B,1,,
1,just way too short for artificially lit grey office cubicles) then this video is,0:59,B,1,,
1,for you! So I'm gonna cover the 7 steps to building your profitable Digital,1:05,D,1,,
1,Nomad Career this year... and it's all based on everything I've learned since,1:10,D,1,,
1,2016 when I first started working online. Based on things I've learned and also,1:15,D,1,,
1,just really based on things that I wish somebody had told me when I first,1:18,D,1,,
1,started. So you will find all of the links to the resources mentioned here in,1:23,D,1,,
1,the description below along with a link to a more in-depth,1:27,D,1,,
1,resource that's gonna provide you with some tips on things like what are the,1:31,D,1,,
1,"actual most profitable freelance careers of this year, where can you learn them,",1:36,D,1,,
1,and how can you actually start earning money from them. So make sure to check,1:39,D,1,,
1,"that out in the description below. And of course, if you like this video and you",1:43,F,3,,
1,want to learn more about how to build and grow your business online make sure,1:47,F,3,,
1,to subscribe to the channel and hit that bell so you get a notification every,1:51,F,3,,
1,time a new video goes live. Step 1 is just to decide on which of the,1:55,D,2,,
1,skills or passions you already possess that you can bring into an online career.,1:59,D,2,,
1,Now you might be surprised to know that a lot of your existing skills can really,2:04,D,2,,
1,easily be translated into an online career but,2:07,D,2,,
1,that's not really the point. The point isn't just to have an online career and,2:11,C,2,,
1,be able to make money online. It's to create a profitable and sustainable,2:15,C,2,,
1,online career that's going to allow you to have the freedom you want in your,2:19,C,2,,
1,life. There's gonna be lots of different YouTube videos and tutorials and blog,2:24,C,2,,
1,posts all about how you can make money with no skills at all. So of course you,2:29,,,,
1,can get paid for things like reviewing Amazon books and even hotels and,2:33,,,,
1,restaurants and taking surveys. But that is not what's going to create this kind,2:37,,,,
1,of sustainable lifestyle for you when it comes to earning money online and,2:42,,,,
1,growing your business. Trust me when I say that the more you put into it the,2:46,F,3,,
1,more you'll get out of it. Make sure to check out my video that's all about how,2:51,F,3,,
1,to find that sweet spot where your passions and your purpose and your,2:54,F,3,,
1,skills all overlap and how to build this into your digital nomad skill set and,2:59,D,2,,
1,where to kind of focus your efforts. But the truth is the most in-demand and the,3:04,D,2,,
1,highest paid skills online are going to take the longest to learn. Which is,3:08,D,2,,
1,natural with absolutely anything out there that's worth doing so the key is,3:12,F,3,C,3
1,just to start little by little. When I first started working online I started,3:17,F,3,C,3
1,posting on Instagram for my clients for $20 an hour just creating really simple,3:21,F,3,C,3
1,graphics and managing their social accounts. And then over the years I,3:25,F,3,C,3
1,started building onto that skill set to also be able to design websites and,3:29,F,3,C,3
1,build out really complex marketing funnels that's allowing me to charge a,3:33,F,3,C,3
1,lot more than $20 an hour. But the key is just to start and then also reinvest,3:39,F,3,C,3
1,into your learning as you go. So Step 2 then is gonna be to actually build out,3:43,D,2,,
1,your skills. Now you can actually do this using free resources out there like,3:47,D,2,,
1,YouTube videos pretty much these days and some blog posts. But I don't recommend,3:51,D,2,,
1,it cause when you're first starting out you need someone who's an expert in that,3:54,D,2,,
1,field to help structure the content for you so you're not overwhelming yourself,3:59,D,2,,
1,by jumping into the more complex stuff first. When you're looking for online,4:03,D,2,,
1,courses you can go to websites like LinkedIn Learning which used to be,4:07,D,2,,
1,Lynda.com that are taught by more professional instructors that are,4:10,D,2,,
1,certified in their field of expertise... or you can go to online marketplaces like,4:15,D,2,,
1,Udemy or Skillshare which are taught by regular people just like me,4:19,D,2,,
1,which are a little bit more digestible and I find them to be a little bit more,4:22,D,2,,
1,human and engaging. But make sure to check out what their reviews are like,4:26,D,2,,
1,and what other students are saying before jumping into a course now on,4:31,D,2,,
1,udemy you can get a course anywhere from about 10 to 20 dollars when they're all,4:34,D,2,,
1,on sale and on Skillshare at the time of recording it's about twenty dollars for,4:38,D,2,,
1,a monthly subscription that gives you access to all of their amazing courses.,4:43,D,2,,
1,So I really recommend these two methods and then also supplementing that with,4:47,,,,
1,"free online learning like using YouTube for that. You can, of course, also take",4:53,,,,
1,"some more expensive, more advanced courses that are about five hundred to",4:56,,,,
1,five thousand dollars... but when you're first starting out my biggest piece of,5:01,,,,
1,advice is to not overwhelm yourself by investing way too much into this journey,5:06,,,,
1,before you really know if you're enjoying it before you even know if it's,5:09,,,,
1,something that you really want. So start with the more kind of budget conscious,5:14,,,,
1,choices and then continue reinvesting into your learning. Now for those of you,5:19,,,,
1,"out there who are gonna say ""oh don't I actually need a formal degree to work in",5:23,R,2,,
1,"this field?"" whatever your chosen field is, I'm gonna tell you right now that I",5:28,R,2,,
1,don't have a formal qualification in digital marketing. I taught myself,5:31,R,2,,
1,everything I know and I have worked with everyone from solopreneurs to,5:36,R,2,,
1,multi-million dollar enterprises and digital marketing agencies and just,5:40,R,2,,
1,about everyone in between and not once has anybody asked me for a formal,5:44,R,2,,
1,qualification proof. Because I know what I'm doing and that's so much more,5:48,R,2,,
1,important in the online world than a piece of paper. And also a three or four,5:54,R,2,,
1,year Bachelor's Degree or any other kind of degree is gonna be so outdated by the,5:59,R,2,,
1,time you would graduate that there's really no point. Because the digital,6:02,R,2,,
1,world is just moving far too quickly. Alright so now I'm moving on to Step 3 -,6:06,R,2,,
1,which is to build out your portfolio. Now once again this does not have to be this,6:11,D,3,,
1,complex custom coded expensive WordPress site like a lot of people would suggest,6:16,D,3,,
1,that you need. You can easily do this by just pimping out your LinkedIn profile,6:20,D,3,,
1,or if you're maybe working full time still and you don't want your boss,6:25,D,3,,
1,getting suspicious about your sudden career change on your LinkedIn profile..,6:29,D,3,,
1,then just go ahead and build a one-page portfolio sign with a free,6:34,D,3,,
1,tool like Strikingly. If you'd like to learn how to do that make sure to check,6:37,D,3,,
1,out my video on how to build your one page portfolio site in less than 30,6:41,D,3,,
1,minutes. Again when I first started I had no way to do this either and I was,6:45,F,3,D,2
1,actually still working full-time so I couldn't do anything with my LinkedIn,6:49,F,3,D,2
1,"profile all I did is put together some graphics on Canva, I put together a few",6:54,F,3,D,2
1,marketing videos and I also did a few articles on Medium.com which is a free,6:59,F,3,D,2
1,site where I could showcase my copywriting style and then I linked,7:03,F,3,D,2
1,everything to my one page portfolio site that I could then send when I was,7:07,F,3,D,2
1,reaching out to clients on LinkedIn or through Facebook groups. So it can be,7:11,F,3,D,2
1,"something really simple like that, it doesn't have to be really complicated",7:14,,,,
1,and I promise you it's a lot more than a lot of other freelancers out there doing.,7:18,,,,
1,So Step 4 then is to decide on your business model. Now... the digital nomad,7:23,A,2,,
1,work pool kind of divides itself into these three categories: one is working,7:28,A,2,,
1,"remotely, the second one is freelancing on a contract basis, and the last one is",7:32,A,2,,
1,running your own online business. So let's talk about some pros and cons of,7:36,A,2,,
1,each of these to decide which one might be right for you.,7:39,,,,
1,Alright so now starting with working remotely. An example might be if you were,7:43,D,2,,
1,a full-time social media manager for an e-commerce brand - this can mean taking,7:48,D,2,,
1,your existing job that you already have remote by negotiating with your boss or,7:53,D,2,,
1,maybe applying for a full-time permanent remote role on sites like RemoteOK or,7:58,D,2,,
1,We Work Remotely. Pros of this is that you can work full time get benefits even,8:03,D,2,,
1,a holiday and sick pay just working from your laptop and you have a consistent,8:08,A,3,,
1,rate of pay month-to-month. Cons are that you are likely restricted to the,8:12,A,3,,
1,timezone of your employer so you can't just pick up and move halfway across the,8:16,A,3,,
1,world because you might be stuck working from 9:00 p.m. to 5:00 a.m. instead and,8:21,A,3,,
1,driving yourself a little bit nuts. When it comes to freelancing - examples of this,8:26,C,2,A,2
1,"would be a copywriter for a health food brand, a video editor for a yoga youtube",8:31,C,2,A,2
1,"channel, or a graphic designer for an accounting firm. These types of jobs you",8:36,C,2,A,2
