id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
1;Portable Professional;Totally agree that life is pretty much the same, and it’s easier on a lot of us as well are still able to work and used to being home. Feeling grateful, and yup... a little guilty to admit it! Thanks for sharing !;Ugyx3Hef24_gyqIz32J4AaABAg;;1;https://www.youtube.com/watch?v=J37s2RekfoY&lc=Ugyx3Hef24_gyqIz32J4AaABAg;2020-04-20 20:11:50;1;Totally agree that life is pretty much the same, and it’s easier on a lot of us as well are still able to work and used to being home. Feeling grateful, and yup... a little guilty to admit it! Thanks for sharing !;http://www.youtube.com/channel/UC5XIgzc2Qm7BhWl1vjyQoQQ;0
2;Johnny FD;Don\'t feel guilty! This is our time to show others that we can prepare our lives in our own way and that it\'s not as risky as other think it is!;Ugyx3Hef24_gyqIz32J4AaABAg.97gjZNX4NWk97gy5cJtMxv;Portable Professional;0;https://www.youtube.com/watch?v=J37s2RekfoY&lc=Ugyx3Hef24_gyqIz32J4AaABAg.97gjZNX4NWk97gy5cJtMxv;2020-04-20 22:18:51;0;Don\'t feel guilty! This is our time to show others that we can prepare our lives in our own way and that it\'s not as risky as other think it is!;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
3;Pentru Barbati;"For me it\'s pure stupidity how people complain for ""having"" to work from home ... the same people 1 month ago complained for having to comute and work with idiots at the office ....";Ugz3F_d38fktnvPRuLF4AaABAg;;1;https://www.youtube.com/watch?v=J37s2RekfoY&lc=Ugz3F_d38fktnvPRuLF4AaABAg;2020-04-20 05:44:11;1;"For me it\'s pure stupidity how people complain for ""having"" to work from home ... the same people 1 month ago complained for having to comute and work with idiots at the office ....";http://www.youtube.com/channel/UCANM-8ZkrUx1eyv6gOSfi3A;0
4;Johnny FD;That is funny how people will always find and excuse on why they are happy, instead of doing something about it!;Ugz3F_d38fktnvPRuLF4AaABAg.97fBGTHQFnH97gyDN4e2mP;Pentru Barbati;0;https://www.youtube.com/watch?v=J37s2RekfoY&lc=Ugz3F_d38fktnvPRuLF4AaABAg.97fBGTHQFnH97gyDN4e2mP;2020-04-20 22:19:54;0;That is funny how people will always find and excuse on why they are happy, instead of doing something about it!;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
5;Eternal Summer Rising - Traveling Techies;I guess we are coping better as we are used to working in different locations or just inside the house, hotels or room. Staying at home this quarantine makes no difference except we don\'t have more stamps in our passports.;UgxAM6am-nbPQ1dDWaZ4AaABAg;;0;https://www.youtube.com/watch?v=J37s2RekfoY&lc=UgxAM6am-nbPQ1dDWaZ4AaABAg;2020-04-19 22:23:34;1;I guess we are coping better as we are used to working in different locations or just inside the house, hotels or room. Staying at home this quarantine makes no difference except we don\'t have more stamps in our passports.;http://www.youtube.com/channel/UCL46HsDzbDRCx4MllLNrWtg;0
6;Johnny FD;Exactly. If anything, it\'s a nice forced break for those who tend to travel too quickly or often without really ever getting into a productive routine.;UgxAM6am-nbPQ1dDWaZ4AaABAg.97eOqJI5THI97eUc0ZMhBy;Eternal Summer Rising - Traveling Techies;0;https://www.youtube.com/watch?v=J37s2RekfoY&lc=UgxAM6am-nbPQ1dDWaZ4AaABAg.97eOqJI5THI97eUc0ZMhBy;2020-04-19 23:14:02;0;Exactly. If anything, it\'s a nice forced break for those who tend to travel too quickly or often without really ever getting into a productive routine.;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
7;Traveling with Kristin;Great conversation, Johnny! Bummed that Zoom cut me out of the call but at least the audio worked!;UgzLXEkCJifZNpZ_So14AaABAg;;0;https://www.youtube.com/watch?v=J37s2RekfoY&lc=UgzLXEkCJifZNpZ_So14AaABAg;2020-04-19 14:17:14;1;Great conversation, Johnny! Bummed that Zoom cut me out of the call but at least the audio worked!;http://www.youtube.com/channel/UCS2ezhBvebMx6BUL-4qpadQ;0
8;Johnny FD;It was great having you on Kristin, I hope people take this 6 minute video as the intro and go listen to the rest either on their phone\'s podcast app or with the audio only version on youtube: https://www.youtube.com/watch?v=nPCLBv3Q6W8;UgzLXEkCJifZNpZ_So14AaABAg.97dXBLRFjBY97eUkvZCeqH;Traveling with Kristin;1;https://www.youtube.com/watch?v=J37s2RekfoY&lc=UgzLXEkCJifZNpZ_So14AaABAg.97dXBLRFjBY97eUkvZCeqH;2020-04-19 23:15:15;0;It was great having you on Kristin, I hope people take this 6 minute video as the intro and go listen to the rest either on their phone\'s podcast app or with the audio only version on youtube: https://www.youtube.com/watch?v=nPCLBv3Q6W8;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
9;Johnny FD;Listen to the rest of the episode at: http://www.travellikeabosspodcast.com/episodes/ep-246-why-digital-nomads-are-better-prepared-for-quarantine;UgxI_wg4AG49UpASy9Z4AaABAg;;0;https://www.youtube.com/watch?v=J37s2RekfoY&lc=UgxI_wg4AG49UpASy9Z4AaABAg;2020-04-19 01:48:07;1;Listen to the rest of the episode at: http://www.travellikeabosspodcast.com/episodes/ep-246-why-digital-nomads-are-better-prepared-for-quarantine;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
10;Johnny FD;Or if you prefer to stream it on youtube, here\'s the audio only version: https://www.youtube.com/watch?v=nPCLBv3Q6W8;UgxI_wg4AG49UpASy9Z4AaABAg.97cBSb4FCfs97eUn_Oh7rQ;Johnny FD;0;https://www.youtube.com/watch?v=J37s2RekfoY&lc=UgxI_wg4AG49UpASy9Z4AaABAg.97cBSb4FCfs97eUn_Oh7rQ;2020-04-19 23:15:37;0;Or if you prefer to stream it on youtube, here\'s the audio only version: https://www.youtube.com/watch?v=nPCLBv3Q6W8;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
